id,userName,content,score,appName
80,AYODELE EMMANUEL,Please stop suspending my account 🙏🙏😓,5,Amazon
81,Rohit Kumar Gh,Nice app,4,Amazon
82,Nithya Ram,Nice 👍,5,Amazon
83,BTS. Fanz,"Less than 1star , this app don't open!!!!",1,Amazon
84,Ibrahim Hussain,Very nice,5,Amazon
85,Oswald-Gifton Campbell,0a temporarily,2,Amazon
86,Promise Uchechukwu,Fantastic,5,Amazon
87,David_int,Truly the only platform with reliable news sources and free speech,5,Amazon
88,Ankit Gupta,Nice,5,Amazon
89,Wim Cannell,"My X experience started off reasonably well, but now it's constantly locking me out of my account & demanding that I prove I'm not a robot with an idiotic test every few days or weeks. How many times do you have to prove that? And now it's complete garbage. The app is telling me, ""we have noticed unusual activity on your account,"" without telling me what it is! I can't log in. It keeps telling me ""wrong password,"" which is incorrect, I know it's the correct password & the app has crashed!",1,Amazon
90,Alexander J. Mitchell,We're getting there faster than most. Watch this space. Now is the Time.,5,Amazon
91,Ziaul haque Himon,Nice,5,Amazon
92,mE,I'm having a problem creating an account and it tells me something is wrong. Try again later and I don't know what's wrong. I tried again and it didn't work. Please fix the problem... The phone's name is Infinix Hot30 Pro.,1,Amazon
93,kurt can,Çok kötü,1,Amazon
94,Michelle Phuthing,Wonderful,5,Amazon
95,Masungulo Macebele,👍🏽👍🏽👍🏽,5,Amazon
96,Gamer Ohana,Am 🆕 to this messages 🙏 Just wanted to find my more gamer friends with,5,Amazon
97,Faisal Wali,Nice application,4,Amazon
98,Olaleye Raymond,Good network,5,Amazon
99,onu obinuchi,Beautiful 😍,5,Amazon
100,Steven Melosky,"Absolutely terrible! Can't even sign in. All attempts to get any help have been rebuffed. Like so many other businesses, the is Absolutely NO CUSTOMER SERVICE 😕",1,Amazon
